Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases,Discount_Dependency,Discount_Risk_Profile,eCLV,Engagement_Score
1,55,1,Blouse,Clothing,53,Kentucky,L,Gray,Winter,3.1,1,Express,1,1,14,Venmo,2,2,High Risk (Bargain Hunter),159,2
2,19,1,Sweater,Clothing,64,Maine,L,Maroon,Winter,3.1,1,Express,1,1,2,Cash,2,2,Heavy Discounter,192,2
3,50,1,Jeans,Clothing,73,Massachusetts,S,Maroon,Spring,3.1,1,Free Shipping,1,1,23,Credit Card,1,2,Heavy Discounter,146,5
4,21,1,Sandals,Footwear,90,Rhode Island,M,Maroon,Spring,3.5,1,Next Day Air,1,1,49,PayPal,1,2,Heavy Discounter,180,5
5,45,1,Blouse,Clothing,49,Oregon,M,Turquoise,Spring,2.7,1,Free Shipping,1,1,31,PayPal,5,2,High Risk (Bargain Hunter),294,3
6,46,1,Sneakers,Footwear,20,Wyoming,M,White,Summer,2.9,1,Standard,1,1,14,Venmo,1,2,High Risk (Bargain Hunter),40,2
7,63,1,Shirt,Clothing,85,Montana,M,Gray,Fall,3.2,1,Free Shipping,1,1,49,Cash,4,2,Heavy Discounter,425,3
8,27,1,Shorts,Clothing,34,Louisiana,L,Charcoal,Winter,3.2,1,Free Shipping,1,1,19,Credit Card,1,2,High Risk (Bargain Hunter),68,5
9,26,1,Coat,Outerwear,97,West Virginia,L,Silver,Summer,2.6,1,Express,1,1,8,Venmo,5,2,Heavy Discounter,582,0
10,57,1,Handbag,Accessories,31,Missouri,M,Pink,Spring,4.8,1,2-Day Shipping,1,1,4,Cash,4,2,High Risk (Bargain Hunter),155,2
11,53,1,Shoes,Footwear,34,Arkansas,L,Purple,Fall,4.1,1,Store Pickup,1,1,26,Bank Transfer,2,2,High Risk (Bargain Hunter),102,7
12,30,1,Shorts,Clothing,68,Hawaii,S,Olive,Winter,4.9,1,Store Pickup,1,1,10,Bank Transfer,2,2,Heavy Discounter,204,4
13,61,1,Coat,Outerwear,72,Delaware,M,Gold,Winter,4.5,1,Express,1,1,37,Venmo,2,2,Heavy Discounter,216,7
14,65,1,Dress,Clothing,51,New Hampshire,M,Violet,Spring,4.7,1,Express,1,1,31,PayPal,1,2,High Risk (Bargain Hunter),102,7
15,64,1,Coat,Outerwear,53,New York,L,Teal,Winter,4.7,1,Free Shipping,1,1,34,Debit Card,1,2,High Risk (Bargain Hunter),106,7
16,64,1,Skirt,Clothing,81,Rhode Island,M,Teal,Winter,2.8,1,Store Pickup,1,1,8,PayPal,3,2,Heavy Discounter,324,0
17,25,1,Sunglasses,Accessories,36,Alabama,S,Gray,Spring,4.1,1,Next Day Air,1,1,44,Debit Card,2,2,High Risk (Bargain Hunter),108,7
18,53,1,Dress,Clothing,38,Mississippi,XL,Lavender,Winter,4.7,1,2-Day Shipping,1,1,36,Venmo,4,2,High Risk (Bargain Hunter),190,5
19,52,1,Sweater,Clothing,48,Montana,S,Black,Summer,4.6,1,Free Shipping,1,1,17,Cash,1,2,High Risk (Bargain Hunter),96,7
20,66,1,Pants,Clothing,90,Rhode Island,M,Green,Summer,3.3,1,Standard,1,1,46,Debit Card,2,2,Heavy Discounter,270,5
21,21,1,Pants,Clothing,51,Louisiana,M,Black,Winter,2.8,1,Express,1,1,50,Cash,4,2,High Risk (Bargain Hunter),255,3
22,31,1,Pants,Clothing,62,North Carolina,M,Charcoal,Winter,4.1,1,Store Pickup,1,1,22,Debit Card,4,2,Heavy Discounter,310,5
23,56,1,Pants,Clothing,37,California,M,Peach,Summer,3.2,1,Store Pickup,1,1,32,Debit Card,5,2,High Risk (Bargain Hunter),222,3
24,31,1,Pants,Clothing,88,Oklahoma,XL,White,Winter,4.4,1,Express,1,1,40,Credit Card,1,2,Heavy Discounter,176,7
25,18,1,Jacket,Outerwear,22,Florida,M,Green,Fall,2.9,1,Store Pickup,1,1,16,Debit Card,1,2,High Risk (Bargain Hunter),44,5
26,18,1,Hoodie,Clothing,25,Texas,M,Silver,Summer,3.6,1,Express,1,1,14,PayPal,5,2,High Risk (Bargain Hunter),150,0
27,38,1,Jewelry,Accessories,20,Nevada,M,Red,Spring,3.6,1,Next Day Air,1,1,13,Credit Card,5,2,High Risk (Bargain Hunter),120,0
28,56,1,Shorts,Clothing,56,Kentucky,L,Cyan,Summer,5.0,1,Next Day Air,1,1,7,Bank Transfer,4,2,High Risk (Bargain Hunter),280,2
29,54,1,Handbag,Accessories,94,North Carolina,M,Gray,Fall,4.4,1,Free Shipping,1,1,41,PayPal,4,2,Heavy Discounter,470,5
30,31,1,Dress,Clothing,48,Wyoming,S,Black,Fall,4.1,1,Store Pickup,1,1,14,Credit Card,1,2,High Risk (Bargain Hunter),96,4
31,57,1,Jewelry,Accessories,31,North Carolina,L,Black,Winter,4.7,1,Standard,1,1,16,Credit Card,3,2,High Risk (Bargain Hunter),124,5
32,33,1,Dress,Clothing,79,West Virginia,L,Brown,Winter,4.7,1,Store Pickup,1,1,45,Venmo,3,2,Heavy Discounter,316,5
33,36,1,Jacket,Outerwear,67,Kansas,M,Silver,Summer,4.9,1,Free Shipping,1,1,37,Venmo,5,2,Heavy Discounter,402,5
34,54,1,Pants,Clothing,38,Colorado,L,Green,Summer,3.3,1,Store Pickup,1,1,45,Cash,4,2,High Risk (Bargain Hunter),190,3
35,36,1,T-shirt,Clothing,91,North Dakota,L,Violet,Spring,4.6,1,2-Day Shipping,1,1,38,PayPal,4,2,Heavy Discounter,455,5
36,54,1,Blouse,Clothing,33,Massachusetts,M,Cyan,Summer,4.0,1,2-Day Shipping,1,1,48,Credit Card,2,2,High Risk (Bargain Hunter),99,7
37,35,1,T-shirt,Clothing,69,Illinois,M,Maroon,Winter,4.6,1,Free Shipping,1,1,44,PayPal,2,2,Heavy Discounter,207,7
38,35,1,Jeans,Clothing,45,Indiana,S,Cyan,Summer,2.8,1,Store Pickup,1,1,10,PayPal,1,2,High Risk (Bargain Hunter),90,2
39,29,1,Dress,Clothing,37,Florida,M,Red,Winter,Unengaged,1,2-Day Shipping,1,1,44,Venmo,4,2,High Risk (Bargain Hunter),185,3
40,70,1,Pants,Clothing,60,Arizona,S,Turquoise,Summer,4.2,1,Express,1,1,18,Credit Card,3,2,Heavy Discounter,240,5
41,69,1,Handbag,Accessories,76,Louisiana,L,Beige,Winter,4.6,1,Next Day Air,1,1,31,Debit Card,4,2,Heavy Discounter,380,5
42,67,1,Scarf,Accessories,39,Alaska,M,Orange,Spring,4.5,1,Standard,1,1,40,Venmo,5,2,High Risk (Bargain Hunter),234,5
43,20,1,Coat,Outerwear,100,Tennessee,M,Beige,Spring,4.1,1,Free Shipping,1,1,15,PayPal,5,2,Heavy Discounter,600,2
44,25,1,Scarf,Accessories,69,Ohio,L,Lavender,Fall,3.7,1,Store Pickup,1,1,19,PayPal,2,2,Heavy Discounter,207,5
45,39,1,Hat,Accessories,53,Kentucky,S,Silver,Summer,4.6,1,Free Shipping,1,1,45,PayPal,1,2,High Risk (Bargain Hunter),106,7
46,50,1,Socks,Clothing,21,Tennessee,XL,Indigo,Fall,2.9,1,2-Day Shipping,1,1,25,PayPal,5,2,High Risk (Bargain Hunter),126,3
47,57,1,Shirt,Clothing,43,California,L,White,Summer,2.9,1,Store Pickup,1,1,45,Cash,4,2,High Risk (Bargain Hunter),215,3
48,55,1,Jewelry,Accessories,54,Montana,M,Charcoal,Winter,4.5,1,Free Shipping,1,1,36,Cash,1,2,High Risk (Bargain Hunter),108,7
49,42,1,Shirt,Clothing,55,Nevada,M,Orange,Summer,2.7,1,Store Pickup,1,1,38,Cash,3,2,High Risk (Bargain Hunter),220,3
50,68,1,Hoodie,Clothing,30,New Jersey,S,Indigo,Spring,4.6,1,Next Day Air,1,1,34,Debit Card,2,2,High Risk (Bargain Hunter),90,7
51,49,1,Blouse,Clothing,28,Maryland,M,Red,Spring,Unengaged,1,Store Pickup,1,1,39,Debit Card,2,2,High Risk (Bargain Hunter),84,5
52,59,1,Skirt,Clothing,59,Vermont,XL,Gray,Winter,4.7,1,2-Day Shipping,1,1,7,Credit Card,4,2,High Risk (Bargain Hunter),295,2
53,42,1,T-shirt,Clothing,20,Alaska,M,Green,Summer,2.6,1,Free Shipping,1,1,26,Credit Card,1,2,High Risk (Bargain Hunter),40,5
54,29,1,Skirt,Clothing,24,Mississippi,S,Peach,Winter,3.9,1,Next Day Air,1,1,35,Credit Card,1,2,High Risk (Bargain Hunter),48,5
55,47,1,Coat,Outerwear,94,New Mexico,M,Brown,Summer,4.2,1,Next Day Air,1,1,35,Debit Card,2,2,Heavy Discounter,282,7
56,40,1,Jacket,Outerwear,28,South Carolina,M,Lavender,Winter,3.0,1,2-Day Shipping,1,1,49,Credit Card,5,2,High Risk (Bargain Hunter),168,3
57,41,1,Backpack,Accessories,73,Mississippi,XL,Brown,Summer,4.7,1,Store Pickup,1,1,46,Credit Card,1,2,Heavy Discounter,146,7
58,21,1,Coat,Outerwear,64,West Virginia,M,White,Summer,4.4,1,Store Pickup,1,1,17,Debit Card,2,2,Heavy Discounter,192,7
59,69,1,Hoodie,Clothing,54,Missouri,M,Charcoal,Summer,4.2,1,Free Shipping,1,1,29,Venmo,3,2,High Risk (Bargain Hunter),216,5
60,63,1,Belt,Accessories,79,Louisiana,L,Yellow,Spring,4.6,1,Standard,1,1,4,Debit Card,1,2,Heavy Discounter,158,4
61,50,1,Sweater,Clothing,37,Idaho,L,Brown,Summer,4.0,1,Express,1,1,17,Cash,1,2,High Risk (Bargain Hunter),74,7
62,55,1,Scarf,Accessories,68,Texas,M,Orange,Winter,4.7,1,Store Pickup,1,1,21,Credit Card,4,2,Heavy Discounter,340,5
63,30,1,Sneakers,Footwear,21,Mississippi,S,Magenta,Spring,3.8,1,Free Shipping,1,1,31,Credit Card,2,2,High Risk (Bargain Hunter),63,5
64,33,1,Sunglasses,Accessories,79,Arizona,L,Lavender,Winter,2.7,1,2-Day Shipping,1,1,43,Credit Card,1,2,Heavy Discounter,158,5
65,65,1,Boots,Footwear,83,Alabama,S,Green,Fall,4.8,1,Standard,1,1,18,Debit Card,2,2,Heavy Discounter,249,7
66,65,1,Backpack,Accessories,36,New Jersey,M,Purple,Spring,4.8,1,2-Day Shipping,1,1,44,Venmo,4,2,High Risk (Bargain Hunter),180,5
67,31,1,Blouse,Clothing,94,Pennsylvania,S,Magenta,Winter,4.7,1,2-Day Shipping,1,1,3,Venmo,4,2,Heavy Discounter,470,2
